Product ID,Product Name,Platform,Category,Missing Fields
"reccAAZZoJ","Cooked salted duck eggs (FP)","大润发","肉蛋水产","口味, 生产商"
"recSIMFoD4","Preserved eggs with pine flower flavor","大润发","肉蛋水产","口味, 生产商"
"recusdDm8K","Pressed first-grade peanut oil","胖东来","粮油干调","口味"
"recWSuLZNV","Sunflower oil with zero trans fat","胖东来","粮油干调","口味"
"recEY0ZC9N","Dried apples","山姆APP","休闲零食","口味, 生产商"
"recQtX1bHJ","100% Coconut water","山姆APP","酒水饮料","口味, 生产商"
"recPcj2J2z","Baofeng Free Love (Baijiu)","胖东来","酒水饮料","口味"
"recZKuhdMR","Craft black beer","胖东来","酒水饮料","口味"
"recfgjPAKS","Craft wheat beer","胖东来","酒水饮料","口味"
"recdNEzVxJ","Coconut water","山姆APP","酒水饮料","口味, 生产商"
"rechixM3PZ","Craft wheat beer","胖东来","酒水饮料","口味"
"recnrLbrbJ","Coconut drink","山姆APP","酒水饮料","口味, 生产商"
"recEPv0sT6","Dried red dragon fruit","山姆APP","休闲零食","口味"
"rec03L0cs9","Freshly extracted freeze-dried hazelnuts","山姆APP","休闲零食","口味"
"recjulYPLB","Jiaguoyuan 100% NFC Black Diamond Pineapple Juice","山姆APP","酒水饮料","口味"
"recRPLG1Yf","Pine mushroom crispy sunflower kernels","山姆APP","休闲零食","口味"
"rec44iYdJE","YangShengTang Birch Tree Sap","山姆APP","酒水饮料","口味"
"rechgC5KR5","Heytea Kale and Cucumber Compound Fruit and Vegetable Juice Drink","山姆APP","酒水饮料","口味"
"recqHY5CEk","Chilean seedless prunes","山姆APP","休闲零食","口味, 生产商"
"recAgc4T9s","Daily nuts (nuts + dried fruits)","山姆APP","休闲零食","口味"
"recPw3sGe9","Organic fruit juice, dried blueberries","山姆APP","休闲零食","口味"
"recJ0sfa20","Dole Small Dried Mandarins","山姆APP","休闲零食","口味"
"recexGxJNE","Organic savory peanuts","山姆APP","休闲零食","口味"
"recS5oC1J8","Apple and Astragalus Drink","山姆APP","酒水饮料","口味"
"recgF69wR0","Member's Mark Apple Juice","山姆APP","酒水饮料","口味, 生产商"
"recEE6E3C2","Dole Turkish Dried Apricots","山姆APP","休闲零食","口味"
"recXcG3YSt","Organic freeze-dried strawberries","山姆APP","休闲零食","口味"
"recbze5e6N","Organic chestnut kernels","山姆APP","休闲零食","口味"
"rec7LAQJ7s","Snow pear and loquat syrup","山姆APP","酒水饮料","口味"
"recuvHQXhK","Chocolate milk drink","山姆APP","酒水饮料","口味"
"recLZaX6e0","Succulent Juicy Grapefruit Mixed Fruit Juice Drink","山姆APP","酒水饮料","口味"
"rec7auo3fM","100% NFC Orange Juice","山姆APP","酒水饮料","口味"
"rec5VqTHCj","Nut milk plant protein beverage","山姆APP","酒水饮料","口味"
"recvJ47BgP","Freeze-dried lemon slices with honey","大润发","休闲食品","口味"
"rec5sYwfGA","Organic large oat flakes","大润发","麦片","口味"
"recfzzOtxU","Greek-style strained yogurt","大润发","乳品烘焙","口味, 生产商"
"recOGf7NkT","Shandong Sweet Potato Noodles","大润发","方便速食","口味"
"recJGEfmhY","Daily Freshness Dairy Little Freshness 4.0 Low-Fat Fresh Milk","猫超","牛奶饮品","口味, 生产商"
"recxVWvI5d","Rice from the cold regions of Northeast China","大润发","粮油干调","口味"
"recke6g2i1","Low-sugar Coconut and Nut Crisps","大润发","休闲零食","口味"
"reczNNMLe5","Spiced Braised Duck Tongues","大润发","休闲零食","口味"
"recwmNhDRx","Shanlihong Hawthorn Juice","大润发","酒水饮料","口味"
"reclZYBP6i","Low-sugar Amber Walnuts","大润发","休闲零食","口味"
"recwETHjus","Spiced Braised Duck Neck","大润发","休闲零食","口味"
"recry6f4aX","Pecan nuts","大润发","休闲零食","口味"
"recJ1b83pK","100% NFC Freshly Squeezed Orange Juice with Rock Sugar","大润发","酒水饮料","口味"
"recRtypTfH","100% NFC Freshly Squeezed Ugly Apple Juice","大润发","酒水饮料","口味"
"recducNSAt","Purple-skinned cashew nuts","大润发","休闲零食","口味"
"recKypbjrt","Double Chocolate Crunchy Cereal","大润发","麦片","口味"
"recZvNMMfG","Original Fragrance Black Wheat Soda Crackers","大润发","休闲零食","口味"
"recA6EUr8Q","Snack Cat Cat Mixed Vegetable and Fruit Crisps","大润发","休闲零食","口味"
"recyeD6DiF","Zhang Benren's Roasted Sunflower Seeds","大润发","休闲零食","口味"
"recCkZHTq4","Spiced and Braised Duck Gizzards","大润发","休闲零食","口味"
"recL6mDtoP","Slow-roasted Honey-glazed Chicken Drumettes","大润发","休闲零食","口味"
"reclyiTSmp","Hema pomelo peel","盒马APP","自有品牌","口味"
"recMAhckFT","Hema Organic Chestnut Kernels","盒马APP","自有品牌","口味"
"recEvpzWbR","Hema Dried Tangerine Peel and Plum Strips","盒马APP","自有品牌","口味"
"recmfJXCc6","Hema Yogurt Hawthorn Cubes","盒马APP","自有品牌","口味"
"recYb6EBoq","Hema Seedless and Ready-to-Eat Fresh-Locked Jujubes","盒马APP","自有品牌","口味"
"recY94AHjw","Hema Freeze-dried Strawberries","盒马APP","自有品牌","口味"
"recmTW4UcD","Hema Hawthorn Strips","盒马APP","自有品牌","口味"
"reckvWwSkB","Hema Dried Tangerine Peel Preserved Waxberries","盒马APP","自有品牌","口味"
"reccrQZqDr","Hema Sour and Tangy Crabapple Dried Fruits","盒马APP","自有品牌","口味"
"recayAIc47","Apple cider vinegar drink","山姆APP","酒水饮料","口味"
"recjBHeOw4","Hema Seedless Black Plums","盒马APP","自有品牌","口味"
"recrDJ0uYK","Hema Okra Crisps","盒马APP","自有品牌","口味"
"recpj0XZfo","Explosive-juice and plump-fleshed citrus blended fruit juice drink","山姆APP","酒水饮料","口味"
"recOcYxI0a","Hema Turkish Dried Apricots","盒马APP","自有品牌","口味"
"recwZZ46qA","Hema Hawthorn Sticks","盒马APP","自有品牌","口味"
"recoOLSXNR","Hema Mixed Mushroom Crisps","盒马APP","自有品牌","口味"
"rec3s7YYjR","Hema Multicolored Raisins","盒马APP","自有品牌","口味, 生产商"
"recF7r9Gma","Hema Assorted Fruit Crisps","盒马APP","自有品牌","口味"
"recIJ3xsue","Grape and orange mixed fruit juice","山姆APP","酒水饮料","口味, 生产商"
"recVeRiX0Q","Member's Mark NFC 100% Mulberry Juice","山姆APP","酒水饮料","口味, 生产商"
"rec896fweK","Jia Guoyuan 100% NFC Purely Squeezed Kiwi Juice","山姆APP","酒水饮料","口味"
"recWwtmR6u","Hema Premium Pineapple Chips","盒马APP","自有品牌","口味"
"recU506dMj","Hema Mixed Vegetable Chips","盒马APP","自有品牌","口味"
"recDH6z9A5","Organic corn juice","山姆APP","酒水饮料","口味"
"recJi1hDIj","Prune juice","山姆APP","酒水饮料","口味, 生产商"
"recp2Qo1wj","Hema Open-mouthed Figs","盒马APP","自有品牌","口味"
"recMCNnq0e","Shanzhamannan Original Hawthorn Juice (Fresh Fruit Flavor) Fruit Juice Beverage","山姆APP","酒水饮料","口味"
"rec3ZqQsky","Hema Fresh Steamed Autumn Pear Slices","盒马APP","自有品牌","口味"
"recdxsMnb0","A large batch of dried dragon fruit at Hema","盒马APP","自有品牌","口味"
"rec7v1a0bG","Hema MAX Japanese Plum Cake","盒马APP","自有品牌","口味, 生产商"
"recvguwCMo","Hema MAX Daily Mixed Berries","盒马APP","自有品牌","口味"
"rec0OMzusn","Hema MAX Chinese Date and Kernel Pie","盒马APP","自有品牌","口味"
"recF9vD5HW","Freshippo Matcha Pudding","盒马APP","自有品牌","口味"
"recFWP7mzW","Hema MAX Jackfruit Chips","盒马APP","自有品牌","口味"
"recxX1bFID","Hema MAX Bursting Plum-Wrapped Grapes","盒马APP","自有品牌","口味"
"recRl4GNxO","Hema MAX Prebiotic Coconut Milk and Hawthorn with Liquid Filling","盒马APP","自有品牌","口味"
"recMfyQwLv","Hema Chocolate Pudding","盒马APP","自有品牌","口味"
"recQpeGxMo","Hema MAX Freeze-dried Figs","盒马APP","自有品牌","口味"
"reccaok290","Hema MAX Sweet Pea Crisps","盒马APP","自有品牌","口味"
"recqAoB5rQ","Hema MAX Juicy Thick-sliced Yellow Peaches","盒马APP","自有品牌","口味"
"recMuf65uH","Hema MAX Freeze-dried Durian","盒马APP","自有品牌","口味"
"recdqcyUTT","Hema's Ingeniously Boiled Imperata Cylindrica and Sugar Cane Water","盒马APP","自有品牌","口味"
"recIxJS8Rg","Hema Corn Silk and Brown Rice Tea","盒马APP","自有品牌","口味"
"recJxwSmva","Unif 100% NFC Blueberry Juice","山姆APP","酒水饮料","口味"
"recZPxUHrL","Coconut water","山姆APP","酒水饮料","口味, 生产商"
"rec7PxYDvt","Unif Oriental Beauty Tea Original Flavor Tea Drink","山姆APP","酒水饮料","口味"
"recIbhlIKD","TRADERS DEAL Honey Pomelo Tea","山姆APP","酒水饮料","口味, 生产商"
"recyPJxvVd","Biquan Double Lemon Duck Shit Xiang Lemon Tea","山姆APP","酒水饮料","口味"
"recNZNyiSO","Botherless Organic Freeze-dried Strawberries","山姆APP","休闲零食","口味"
"recKNr4Xcl","Coffee milk","山姆APP","酒水饮料","口味"
"recCpMUBmK","Sweet pea chips","山姆APP","休闲零食","口味"
"recIN9LVYH","Starbucks Colombian Coffee Latte, Coffee Beverage","山姆APP","酒水饮料","口味"
"reccyELUiE","Thai frozen-dried Monthong durian","山姆APP","休闲零食","口味, 生产商"
"recjJ9FUWV","Dried Summer Music grapes","山姆APP","休闲零食","口味"
"recF2Waphj","Peeled almond kernels at the budding moment","山姆APP","休闲零食","口味"
"recdO5zbI2","Orient Leaf Tangerine Pu'er Compound Tea Beverage","山姆APP","酒水饮料","口味"
"recbfnske2","Raw Pu-erh tea, sugar-free tea beverage","山姆APP","酒水饮料","口味"
"recHDX6VMJ","Suntory Black Oolong Tea, Oolong Tea Beverage (Sugar-Free)","山姆APP","酒水饮料","口味"
"recANTmgZf","SINGHA Lion Soda Water","山姆APP","酒水饮料","口味, 生产商"
"rec8iG09cv","Watsons Soda Water","山姆APP","酒水饮料","口味"
"recVtbQRK1","Schweppes Soda Water","山姆APP","酒水饮料","口味"
"recK9Jsujt","BALANCE.TT KETO Beef + Processed Cheese","山姆APP","休闲零食","口味"
"recXs2FE00","Prebiotic Rock-Baked Seaweed","山姆APP","休闲零食","口味"
"recCHygMVW","High-fiber Boletus and Konjac","山姆APP","休闲零食","口味, 生产商"
"recwp932IF","Egg King Antibiotic-free Quail Eggs","山姆APP","休闲零食","口味"
"recSsQc54e","Bee Cheng Hiang Crispy Pork Floss Strips","山姆APP","休闲零食","口味"
"recE2fWDzJ","Member's Mark Air-dried Beef","山姆APP","休闲零食","口味"
"recZCKDR5s","Jingqingyuan Traditional Seaweed with Light-salt Olive Oil","山姆APP","休闲零食","口味"
"recuR4Q9tD2g9E","Xi Zhangji Crunchy Beans","零食很忙","休闲食品","口味, 规格"
"recuR4Q9zGx7IO","Guoli Bubble-Filled Bubble Gum","零食很忙","休闲食品","口味"
"recuR4QbyLpwwG","Liu Liu Messi Mei","零食很忙","休闲食品","口味"
"recuR4QbHi4guM","Liuliumei Clear Plum","零食很忙","休闲食品","口味"
"recuR4QbKck9la","Liulimei Snow Plums","零食很忙","休闲食品","口味"
"recuR4QbT6hU4F","Huaweiheng Snowflake Preserved Prunes","零食很忙","休闲食品","口味"
"recuR5xtr7N7u0","Wuweiyuan PK Crispy","零食很忙","休闲食品","口味, 规格"
"recuR5LuLlijRO","Seasonal Alliance Grandma's Dishes","零食很忙","休闲食品","口味"
"recuR5ShJ8Hv6L","Golden Rice DIY Graffiti Candies","零食很忙","休闲食品","口味"
"recDzp8Tb0","Daliyuan Black Whole Wheat Mini Bread","达利园天猫旗舰店","休闲食品","口味"
"recR2yevyZ","Daliyuan Milk Peanuts","达利园天猫旗舰店","休闲食品","口味"
"recyAnnYrF","Panpan Daily Fruit and Vegetable Crisps","盼盼天猫旗舰店","休闲食品","口味"
"recuRdo5MuQdrs","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuF2cO","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuhuNI","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuEsaG","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuaH3h","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuYHur","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5Mu6ask","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuZKaY","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5MuaFXL","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recuRdo5Muax5m","未命名产品","未知平台","未分类","口味, 生产商, 规格"
"recn7j9p5p","Panpan Coconut Egg Roll Pastries","盼盼天猫旗舰店","休闲食品","口味"
